order_id,date,year,month,weekday,item,category,quantity,unit_price,total_revenue,unit_cost,total_cost,total_profit,payment_method,waiter,channel
1,2024-11-23,2024,11,5,Pizza,Main,3,60.28,180.84,30.14,90.42,90.42,Cash,Carla,Dine-in
2,2024-04-24,2024,4,2,Pasta,Main,1,42.48,42.48,22.09,22.09,20.39,Cash,Eduarda,Dine-in
3,2024-10-29,2024,10,1,Fries,Side,2,25.23,50.46,10.09,20.18,30.28,Cash,Ana,Dine-in
4,2024-04-21,2024,4,6,Salad,Starter,2,35.46,70.92,15.96,31.92,39.0,Cash,Eduarda,Dine-in
5,2024-11-28,2024,11,3,Soda,Drink,2,9.37,18.74,3.28,6.56,12.18,Pix,Bruno,Delivery
6,2024-10-28,2024,10,0,Sushi,Main,1,71.06,71.06,42.64,42.64,28.42,Cash,Bruno,Takeaway
7,2024-08-04,2024,8,6,Steak,Main,2,84.92,169.84,49.25,98.5,71.34,Debit Card,Bruno,Dine-in
8,2024-06-21,2024,6,4,Pizza,Main,2,52.92,105.84,26.46,52.92,52.92,Cash,Diego,Dine-in
9,2024-07-02,2024,7,1,Steak,Main,1,102.38,102.38,59.38,59.38,43.0,Debit Card,Ana,Takeaway
10,2024-08-23,2024,8,4,Soda,Drink,3,12.41,37.23,4.34,13.02,24.21,Cash,Diego,Dine-in
11,2024-10-09,2024,10,2,Sushi,Main,1,87.48,87.48,52.49,52.49,34.99,Debit Card,Eduarda,Dine-in
12,2024-12-26,2024,12,3,Pizza,Main,1,64.59,64.59,32.3,32.3,32.29,Cash,Bruno,Delivery
13,2024-02-10,2024,2,5,Salad,Starter,2,34.13,68.26,15.36,30.72,37.54,Cash,Diego,Delivery
14,2024-08-20,2024,8,1,Steak,Main,1,98.38,98.38,57.06,57.06,41.32,Credit Card,Carla,Delivery
15,2024-04-17,2024,4,2,Sushi,Main,5,96.0,480.0,57.6,288.0,192.0,Cash,Eduarda,Takeaway
16,2024-03-28,2024,3,3,Soda,Drink,1,8.95,8.95,3.13,3.13,5.82,Credit Card,Bruno,Delivery
17,2024-07-13,2024,7,5,Sushi,Main,1,70.92,70.92,42.55,42.55,28.37,Credit Card,Carla,Dine-in
18,2024-04-27,2024,4,5,Burger,Main,1,40.63,40.63,22.35,22.35,18.28,Debit Card,Diego,Delivery
19,2024-02-03,2024,2,5,Salad,Starter,1,29.27,29.27,13.17,13.17,16.1,Debit Card,Bruno,Takeaway
20,2024-09-12,2024,9,3,Fries,Side,3,16.63,49.89,6.65,19.95,29.94,Pix,Bruno,Delivery
